Unique Transaction Identifier,Price,Date of Transaction,Postal Code,Property Type,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PPD Category Type,Record Status
{09266DDB-88FC-AF90-E063-4704A8C02087},195000,2023-08-14,HP12 3UD,F,N,L,33,,CASTLEVIEW GARDENS,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-88FD-AF90-E063-4704A8C02087},550000,2023-09-14,HP15 6UZ,S,N,F,24,,BEECH TREE ROAD,HOLMER GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-88FE-AF90-E063-4704A8C02087},386261,2023-06-30,HP5 2AP,T,N,F,75,,SUNNYSIDE ROAD,,CHESHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-88FF-AF90-E063-4704A8C02087},690000,2023-10-03,SL7 3EF,D,N,F,11,,THE ORCHARD,,MARLOW,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8900-AF90-E063-4704A8C02087},465000,2023-09-12,HP5 2FU,T,N,F,11,,ASH GROVE,,CHESHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8902-AF90-E063-4704A8C02087},775000,2023-08-31,MK17 0JS,D,N,F,44A,,MAIN ROAD,DRAYTON PARSLOW,MILTON KEYNES,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8904-AF90-E063-4704A8C02087},430000,2023-09-01,LU7 0TE,S,N,F,8,,OVERSTONE CLOSE,WING,LEIGHTON BUZZARD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8908-AF90-E063-4704A8C02087},201400,2023-08-09,HP21 8AE,T,N,L,32,,MITCHELL CLOSE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8909-AF90-E063-4704A8C02087},550000,2023-04-27,HP10 9JL,D,N,F,37,,NORTHERN WOODS,FLACKWELL HEATH,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-890A-AF90-E063-4704A8C02087},685000,2023-09-26,SL7 2FS,F,N,L,WINDSOR COURT,35,PORTLAND CRESCENT,,MARLOW,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8911-AF90-E063-4704A8C02087},1175000,2023-08-16,SL9 7NN,D,N,F,5,,MEADWAY PARK,,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8912-AF90-E063-4704A8C02087},268000,2023-08-11,HP13 6PQ,F,N,L,54,FLAT 1,AMERSHAM HILL,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8913-AF90-E063-4704A8C02087},780000,2023-06-27,HP12 4DG,D,N,F,SUNNINGDALE,,HEATHFIELD ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8914-AF90-E063-4704A8C02087},932500,2023-08-08,HP15 6AT,D,N,F,54,,WINDMILL LANE,WIDMER END,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8915-AF90-E063-4704A8C02087},835000,2023-08-24,HP10 9HT,D,N,F,52,,WHITEPIT LANE,FLACKWELL HEATH,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8916-AF90-E063-4704A8C02087},350000,2023-08-17,HP21 7EH,S,N,F,24,,LONG MEADOW,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8917-AF90-E063-4704A8C02087},995000,2023-09-01,HP16 0EZ,D,N,F,15,,NEW ROAD,LITTLE KINGSHILL,GREAT MISSENDEN,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8918-AF90-E063-4704A8C02087},325000,2023-09-01,HP5 1QP,F,N,L,29,,FORELANDS WAY,,CHESHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-891B-AF90-E063-4704A8C02087},130000,2023-08-10,HP11 2LW,F,N,L,22,FLAT 2,WEST WYCOMBE ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-891C-AF90-E063-4704A8C02087},226500,2023-07-21,HP18 1AB,F,N,L,11,,ELTON CLOSE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-891D-AF90-E063-4704A8C02087},296500,2023-08-04,SL9 9QJ,F,N,L,ST PETERS COURT,FLAT 123,HIGH STREET,CHALFONT ST PETER,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8921-AF90-E063-4704A8C02087},185000,2023-08-25,HP10 0DA,F,N,L,7,,HEDGE LEA,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8922-AF90-E063-4704A8C02087},410000,2023-08-17,HP22 5FY,S,N,F,9,,VANTAGE STREET,ASTON CLINTON,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8924-AF90-E063-4704A8C02087},635000,2023-09-13,HP22 5ZX,S,N,F,4,,LOW MEADOW,WESTON TURVILLE,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8928-AF90-E063-4704A8C02087},335000,2023-08-18,HP13 6QS,F,N,L,"UPLYME HOUSE, 35",FLAT 11,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-892E-AF90-E063-4704A8C02087},300000,2023-08-11,HP11 1BT,F,N,L,"LONDON COURT, 151 - 153",FLAT 8,LONDON ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-892F-AF90-E063-4704A8C02087},725000,2023-09-01,SL9 0FU,F,N,L,ST. PETERS GRANGE,9,CHALFONT DENE,CHALFONT ST PETER,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8933-AF90-E063-4704A8C02087},900000,2023-05-05,HP18 9JA,S,N,F,35,,GOLDERS CLOSE,ICKFORD,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8938-AF90-E063-4704A8C02087},1035000,2023-05-19,HP16 9QJ,D,N,F,HIGH HOUSE,,BALLINGER ROAD,SOUTH HEATH,GREAT MISSENDEN,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8949-AF90-E063-4704A8C02087},145000,2023-06-02,HP12 3AX,F,N,L,40A,,ABERCROMBY AVENUE,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-894B-AF90-E063-4704A8C02087},375000,2023-06-02,HP18 1AW,S,N,F,21,,BLUE ROCK DRIVE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-897C-AF90-E063-4704A8C02087},857500,2023-07-07,HP16 0QY,D,N,F,28,,KINGS LANE,SOUTH HEATH,GREAT MISSENDEN,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A09-AF90-E063-4704A8C02087},365150,2023-08-15,HP15 7TH,T,N,F,6,,ASHFIELD WAY,HAZLEMERE,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A12-AF90-E063-4704A8C02087},299000,2023-08-17,SL7 3TZ,D,N,L,TRINITY COURT,10,WETHERED ROAD,,MARLOW,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A23-AF90-E063-4704A8C02087},390000,2023-01-27,LU7 0GQ,T,Y,F,17,,BANCROFT STREET,CHEDDINGTON,LEIGHTON BUZZARD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A2A-AF90-E063-4704A8C02087},620000,2023-08-31,HP11 1JB,D,N,F,173,,KINGSMEAD ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A2D-AF90-E063-4704A8C02087},315000,2023-06-16,HP11 2JF,S,N,F,56,,WENDOVER STREET,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A30-AF90-E063-4704A8C02087},700000,2023-03-10,LU7 0FY,D,Y,F,15,,PONIES CLOSE,CHEDDINGTON,LEIGHTON BUZZARD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A3D-AF90-E063-4704A8C02087},390000,2023-03-31,HP18 9GQ,S,N,F,36,,POPLAR WAY,ICKFORD,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A3E-AF90-E063-4704A8C02087},1185000,2023-04-28,HP6 6DT,D,N,F,35,,ST LEONARDS ROAD,,AMERSHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A47-AF90-E063-4704A8C02087},545950,2023-05-26,MK18 2RT,D,Y,F,9,,WINTERS WAY,STEEPLE CLAYDON,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A48-AF90-E063-4704A8C02087},200000,2023-09-01,HP11 1XE,F,N,L,DOLPHIN COURT,FLAT 32,KINGSMEAD ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A49-AF90-E063-4704A8C02087},400000,2023-06-30,MK18 2RB,D,Y,F,5,,MOLLYS MOUNT,STEEPLE CLAYDON,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A4A-AF90-E063-4704A8C02087},610000,2023-09-05,MK18 2RF,D,Y,F,34,,WILLOWVALE WAY,STEEPLE CLAYDON,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A52-AF90-E063-4704A8C02087},535000,2023-09-11,HP22 3AS,D,Y,F,101,,PURSSELL ROAD,WESTON TURVILLE,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A54-AF90-E063-4704A8C02087},415000,2023-08-25,HP13 7BL,S,N,F,28,,ROBINSON ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A56-AF90-E063-4704A8C02087},445000,2023-08-24,LU7 0SS,D,N,F,33,,BROWNLOW LANE,CHEDDINGTON,LEIGHTON BUZZARD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A58-AF90-E063-4704A8C02087},720000,2023-09-01,HP7 9JB,S,N,F,45,,LITTLE REEVES AVENUE,,AMERSHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A59-AF90-E063-4704A8C02087},355000,2023-09-11,HP13 7BJ,T,N,F,65,,ROBINSON ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A5A-AF90-E063-4704A8C02087},465000,2023-09-04,HP15 7LA,S,N,F,32,,STOCK FIELD CLOSE,HAZLEMERE,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A5B-AF90-E063-4704A8C02087},1050000,2023-05-04,SL7 2RE,D,N,F,29,,TERRINGTON HILL,,MARLOW,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A5D-AF90-E063-4704A8C02087},391250,2023-05-18,HP21 7EU,S,N,F,22,,RAMWORTH WAY,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A5E-AF90-E063-4704A8C02087},1225000,2023-07-14,SL9 7EN,D,N,F,47,,ST HUBERTS CLOSE,,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A5F-AF90-E063-4704A8C02087},300000,2023-08-10,HP21 9QB,T,N,F,29,,CHARMFIELD ROAD,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A60-AF90-E063-4704A8C02087},792500,2023-06-16,SL2 3BX,D,N,F,5,,FAIRFIELD LANE,FARNHAM ROYAL,SLOUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A61-AF90-E063-4704A8C02087},360000,2023-08-11,HP21 7NY,T,N,F,31,,PEMBERTON CLOSE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A62-AF90-E063-4704A8C02087},412500,2023-08-18,HP10 0BT,T,N,F,11,,RUSHBURN,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A63-AF90-E063-4704A8C02087},325000,2023-10-19,HP17 8EQ,T,N,F,117,,THAME ROAD,HADDENHAM,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A64-AF90-E063-4704A8C02087},402150,2023-09-04,HP22 5QN,S,N,F,9,,YORKE CLOSE,ASTON CLINTON,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A65-AF90-E063-4704A8C02087},606000,2023-03-10,HP13 7PQ,D,N,F,29,,FREMANTLE ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A66-AF90-E063-4704A8C02087},1000000,2023-08-24,SL0 0DH,D,N,F,89,,SLOUGH ROAD,,IVER,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{09266DDB-8A67-AF90-E063-4704A8C02087},750000,2023-03-30,SL9 7AP,D,N,F,ST ALBANS,,OXFORD ROAD,,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A68-AF90-E063-4704A8C02087},277000,2023-04-28,HP19 7SA,T,N,F,18,,DITCHINGHAM CLOSE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A69-AF90-E063-4704A8C02087},287000,2023-10-09,HP19 7SA,T,N,F,25,,DITCHINGHAM CLOSE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A6A-AF90-E063-4704A8C02087},390000,2023-05-12,MK18 1XF,D,N,F,9,,WHARF VIEW,,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A6B-AF90-E063-4704A8C02087},715000,2023-07-27,HP17 8EX,D,N,F,128,,SHEERSTOCK,HADDENHAM,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A6C-AF90-E063-4704A8C02087},967000,2023-08-23,SL2 3RE,D,N,F,5,,ROMSEY DRIVE,FARNHAM COMMON,SLOUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A6D-AF90-E063-4704A8C02087},330000,2023-08-24,HP19 8SB,T,N,F,19,,SEWELL CLOSE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A6F-AF90-E063-4704A8C02087},575000,2023-10-11,LU7 0NE,D,N,F,30,,STEWKLEY ROAD,WING,LEIGHTON BUZZARD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A70-AF90-E063-4704A8C02087},719000,2023-08-11,HP14 4LZ,D,N,F,30,,SOUTH MAUNDIN,HUGHENDEN VALLEY,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A71-AF90-E063-4704A8C02087},535000,2023-04-24,SL1 7DD,S,N,F,63,,GORE ROAD,BURNHAM,SLOUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A72-AF90-E063-4704A8C02087},460000,2023-08-04,HP13 6UL,S,N,F,8,,SALISBURY ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A73-AF90-E063-4704A8C02087},460000,2023-05-11,SL0 9QF,S,N,F,9,,STONECROFT AVENUE,,IVER,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A74-AF90-E063-4704A8C02087},385000,2023-04-06,LU7 9AZ,T,N,F,41,,GLEBE CLOSE,PITSTONE,LEIGHTON BUZZARD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A75-AF90-E063-4704A8C02087},342000,2023-04-12,HP22 5JW,S,N,F,11,,BEECHWOOD WAY,ASTON CLINTON,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A76-AF90-E063-4704A8C02087},1615000,2023-08-18,SL2 3HL,D,N,F,11,,GRANGE GARDENS,FARNHAM COMMON,SLOUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A77-AF90-E063-4704A8C02087},285000,2023-09-05,SL9 7DZ,F,N,L,WOODHILL COURT,1,FULMER ROAD,,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A78-AF90-E063-4704A8C02087},525000,2023-08-18,HP9 1AL,S,N,F,1,,MEADOW LANE,,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A7A-AF90-E063-4704A8C02087},610000,2023-05-19,SL7 1JP,S,N,F,64,,NEWFIELD GARDENS,,MARLOW,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A7B-AF90-E063-4704A8C02087},224000,2023-09-15,HP20 2BW,T,N,F,8,,FOSTER CLOSE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8A7C-AF90-E063-4704A8C02087},800000,2023-05-05,HP6 6SY,S,N,F,33,,OAKINGTON AVENUE,,AMERSHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8766-AF90-E063-4704A8C02087},315000,2023-04-28,HP22 5AG,S,N,F,NORMILL TERRACE,6,AYLESBURY ROAD,ASTON CLINTON,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8767-AF90-E063-4704A8C02087},525000,2023-10-06,MK18 4BX,D,N,F,KAPELLAN,,,HILLESDEN,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8768-AF90-E063-4704A8C02087},445000,2023-08-29,HP27 0EN,S,N,F,64,,WYCOMBE ROAD,,PRINCES RISBOROUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
