Unique Transaction Identifier,Price,Date of Transaction,Postal Code,Property Type,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PPD Category Type,Record Status
{152AB733-8ADA-E651-E063-4704A8C061D9},638000,2023-07-24,HP27 0JQ,S,N,F,14,,THE RETREAT,,PRINCES RISBOROUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1061746E-BBF2-3C34-E063-4804A8C0F9E7},2155000,2023-12-07,SL2 4PG,D,N,F,GATESIDE,,PARK ROAD,STOKE POGES,SLOUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BBF4-3C34-E063-4804A8C0F9E7},180000,2023-12-04,HP27 0JD,T,N,F,13,,SOUTHFIELD ROAD,,PRINCES RISBOROUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BBFD-3C34-E063-4804A8C0F9E7},1310000,2023-10-25,HP18 9SX,O,N,F,2,,TEMPLE STREET,BRILL,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BBFF-3C34-E063-4804A8C0F9E7},235000,2023-12-18,HP19 0WJ,F,N,L,4,,GUILLEMOT WAY,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC03-3C34-E063-4804A8C0F9E7},900000,2023-11-03,HP16 0QY,O,N,F,42,,KINGS LANE,SOUTH HEATH,GREAT MISSENDEN,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC07-3C34-E063-4804A8C0F9E7},775000,2023-10-04,HP22 5XB,O,N,F,6,,LOWER ROAD,STOKE MANDEVILLE,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC08-3C34-E063-4804A8C0F9E7},725000,2023-10-05,SL9 9EN,O,N,F,9,,CHURCHFIELD ROAD,CHALFONT ST PETER,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC0A-3C34-E063-4804A8C0F9E7},775000,2023-10-30,SL6 0BB,O,N,F,GAIETY ROW,THAMES COTTAGE,RIVER ROAD,TAPLOW,MAIDENHEAD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC0F-3C34-E063-4804A8C0F9E7},315000,2023-10-13,HP8 4QH,O,N,F,21,,HIGH STREET,,CHALFONT ST GILES,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC14-3C34-E063-4804A8C0F9E7},3290000,2023-10-31,HP14 4DT,O,N,F,STONELEIGH HOUSE,,BOWERS LANE,RADNAGE,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC15-3C34-E063-4804A8C0F9E7},185000,2023-12-15,HP19 7HF,F,N,L,33,,PINE STREET,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{152AB733-8ADC-E651-E063-4704A8C061D9},1142500,2023-12-14,SL9 8LR,D,N,F,24,,LATCHMOOR WAY,CHALFONT ST PETER,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AE0-E651-E063-4704A8C061D9},1375000,2023-11-03,UB9 4LF,D,N,F,BUCKLEIGH,,BAKERS WOOD,DENHAM,UXBRIDGE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AE3-E651-E063-4704A8C061D9},1065000,2023-12-05,SL7 2NZ,D,N,F,86,,BARNARDS HILL,,MARLOW,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AE4-E651-E063-4704A8C061D9},320000,2023-12-01,HP19 9QE,S,N,F,20A,,KENILWORTH DRIVE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AE5-E651-E063-4704A8C061D9},927000,2023-12-01,HP13 6HL,D,N,F,7,,RYE VIEW,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AE6-E651-E063-4704A8C061D9},350000,2023-11-30,HP21 9RH,S,N,F,28,,WEILL ROAD,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AE8-E651-E063-4704A8C061D9},655000,2023-12-01,HP16 0SJ,D,N,F,3,,STOCKLANDS WAY,PRESTWOOD,GREAT MISSENDEN,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AEA-E651-E063-4704A8C061D9},370000,2023-07-18,HP13 6UP,S,N,F,82,,ADELAIDE ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AEE-E651-E063-4704A8C061D9},390000,2023-10-20,LU6 2HL,D,N,F,30,,THE PASTURES,EDLESBOROUGH,DUNSTABLE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AEF-E651-E063-4704A8C061D9},1150000,2023-12-15,SL6 0EE,D,N,F,AMERDEN BARN,,AMERDEN LANE,TAPLOW,MAIDENHEAD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AF0-E651-E063-4704A8C061D9},520000,2023-12-20,SL1 7NN,D,N,F,101,,STOMP ROAD,BURNHAM,SLOUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AF5-E651-E063-4704A8C061D9},265000,2023-12-05,HP19 7SD,T,N,F,5,,UPPER ABBOTTS HILL,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AF7-E651-E063-4704A8C061D9},575000,2023-10-26,HP13 7PQ,D,N,F,10,,FREMANTLE ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AFA-E651-E063-4704A8C061D9},470000,2023-12-19,SL9 9LF,T,N,F,105,,LEACHCROFT,CHALFONT ST PETER,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8AFB-E651-E063-4704A8C061D9},947000,2023-12-20,SL1 8HQ,D,N,F,41,,GRENVILLE CLOSE,BURNHAM,SLOUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
